series,alpha,cycles_to_detection,first_z_score,false_positives_pre_inject
synthetic,0.05,0,58.47335815333335,0
synthetic,0.1,0,57.04261081309664,0
synthetic,0.15,0,55.57465635116107,0
synthetic,0.2,0,54.099988104085995,0
synthetic,0.3,0,51.14999999392371,0
drift,0.05,1,8.720665112249172,0
drift,0.1,1,6.008327554319923,0
drift,0.15,1,4.7766794603224785,0
drift,0.2,1,4.024922359499626,0
drift,0.3,1,3.103761159195938,0
phase5-style,0.05,0,70.10978915858831,1
phase5-style,0.1,0,59.97101006368905,2
phase5-style,0.15,0,59.66953364474302,2
phase5-style,0.2,0,63.53262246150774,1
phase5-style,0.3,0,80.863941399298,1
